iter	Passed	Remaining
467	42663	48497
468	42740	48390
469	42822	48288
470	42905	48188
471	42985	48084
472	43095	48015
473	43194	47933
474	43283	47839
475	43372	47746
476	43482	47675
477	43583	47595
478	43658	47487
479	43724	47368
480	43810	47271
481	43927	47207
482	44017	47116
483	44100	47016
484	44171	46904
485	44275	46826
486	44356	46724
487	44464	46650
488	44561	46566
489	44681	46504
490	44793	46435
491	44877	46337
492	44966	46243
493	45067	46162
494	45155	46068
495	45229	45959
496	45306	45853
497	45413	45778
498	45498	45681
499	45618	45618
500	45694	45512
501	45765	45400
502	45850	45303
503	45947	45217
504	46008	45097
505	46098	45004
506	46172	44897
507	46275	44817
508	46379	44738
509	46464	44641
510	46555	44550
511	46675	44487
512	46757	44387
513	46820	44269
514	46907	44175
515	46992	44078
516	47070	43975
517	47143	43867
518	47252	43792
519	47324	43683
520	47412	43590
521	47523	43518
522	47628	43439
523	47713	43342
524	47792	43241
525	47868	43136
526	47968	43052
527	48045	42949
528	48117	42841
529	48226	42767
530	48334	42691
531	48410	42586
532	48499	42493
533	48584	42397
534	48662	42295
535	48798	42243
536	48886	42149
537	48978	42059
538	49065	41964
539	49160	41877
540	49260	41793
541	49338	41692
542	49412	41586
543	49497	41490
544	49573	41387
545	49666	41298
546	49742	41194
547	49821	41093
548	49909	41000
549	49979	40892
550	50066	40798
551	50140	40694
552	50220	40593
553	50291	40487
554	50366	40383
555	50447	40285
556	50552	40205
557	50647	40118
558	50761	40046
559	50877	39975
560	50962	39879
561	51084	39813
562	51165	39714
563	51239	39610
564	51329	39518
565	51439	39442
566	51528	39350
567	51618	39258
568	51699	39160
569	51771	39055
570	51871	38971
571	51977	38891
572	52049	38787
573	52127	38686
574	52214	38593
575	52297	38496
576	52402	38416
577	52472	38310
578	52581	38233
579	52678	38146
580	52778	38062
581	52866	37969
582	52961	37881
583	53072	37805
584	53188	37732
585	53276	37638
586	53398	37569
587	53506	37490
588	53559	37373
589	53677	37300
590	53780	37218
591	53874	37129
592	53952	37029
593	54030	36929
594	54100	36824
595	54180	36726
596	54276	36639
597	54347	36534
598	54442	36446
599	54514	36343
600	54598	36247
601	54709	36169
602	54808	36084
603	54908	35999
604	54987	35900
605	55062	35799
606	55181	35727
607	55255	35625
608	55332	35525
609	55406	35423
610	55523	35349
611	55598	35248
612	55681	35152
613	55771	35061
614	55859	34969
615	55944	34874
616	56005	34765
617	56079	34664
618	56197	34590
619	56315	34515
620	56373	34405
621	56483	34326
622	56583	34240
623	56662	34142
624	56768	34061
625	56851	33965
626	56971	33892
627	57050	33794
628	57127	33695
629	57201	33594
630	57290	33502
631	57361	33400
632	57437	33300
633	57513	33201
634	57614	33116
635	57690	33018
636	57797	32936
637	57881	32842
638	57961	32745
639	58031	32642
640	58153	32569
641	58231	32471
642	58314	32376
643	58409	32288
644	58487	32190
645	58586	32104
646	58682	32017
647	58785	31933
648	58873	31840
649	58994	31766
650	59097	31681
651	59195	31595
652	59273	31497
653	59372	31411
654	59461	31319
655	59527	31215
656	59625	31128
657	59726	31043
658	59797	30942
659	59880	30847
660	59989	30766
661	60076	30673
662	60166	30582
663	60273	30499
664	60376	30415
665	60463	30322
666	60629	30269
667	60717	30177
668	60816	30089
669	60947	30018
670	61044	29930
671	61121	29833
672	61198	29735
673	61313	29656
674	61399	29562
675	61484	29468
676	61571	29376
677	61660	29284
678	61752	29193
679	61841	29101
680	61938	29013
681	62017	28917
682	62113	28828
683	62211	28741
684	62301	28649
685	62398	28561
686	62480	28466
687	62561	28370
688	62634	28271
689	62706	28172
690	62793	28079
691	62874	27984
692	62949	27886
693	63056	27802
694	63156	27715
695	63255	27629
696	63319	27526
697	63441	27448
698	63538	27360
699	63624	27267
700	63726	27181
701	63812	27088
702	63910	27000
703	63999	26908
704	64080	26813
705	64152	26715
706	64256	26629
707	64334	26533
708	64419	26440
709	64515	26351
710	64597	26257
711	64671	26159
712	64745	26061
713	64852	25977
714	64929	25880
715	65000	25782
716	65077	25686
717	65171	25596
718	65244	25499
719	65307	25397
720	65415	25313
721	65517	25227
722	65607	25136
723	65711	25050
724	65793	24956
725	65886	24866
726	65962	24770
727	66037	24673
728	66114	24577
729	66214	24490
730	66310	24401
731	66410	24314
732	66495	24221
733	66596	24134
734	66687	24043
735	66804	23962
736	66923	23881
737	67007	23788
738	67097	23697
739	67197	23609
740	67295	23521
741	67394	23433
742	67470	23337
743	67546	23241
744	67617	23144
745	67705	23052
746	67792	22960
747	67874	22866
748	67970	22777
749	68078	22692
750	68162	22599
751	68283	22518
752	68346	22419
753	68456	22334
754	68551	22245
755	68641	22154
756	68748	22068
757	68836	21976
758	68903	21878
759	68989	21786
760	69059	21688
761	69157	21600
762	69243	21508
763	69329	21415
764	69419	21324
765	69535	21241
766	69634	21153
767	69717	21060
768	69816	20972
769	69911	20882
770	69981	20785
771	70057	20690
772	70164	20604
773	70239	20509
774	70321	20415
775	70408	20324
776	70498	20233
777	70585	20141
778	70676	20050
779	70774	19962
780	70847	19866
781	70930	19773
782	71020	19682
783	71105	19590
784	71200	19500
785	71300	19412
786	71391	19322
787	71484	19231
788	71547	19133
789	71637	19042
790	71732	18953
791	71820	18861
792	71910	18771
793	71986	18676
794	72067	18583
795	72159	18493
796	72249	18402
797	72325	18307
798	72404	18214
799	72493	18123
800	72576	18030
801	72659	17938
802	72773	17853
803	72874	17765
804	72949	17670
805	73031	17578
806	73121	17487
807	73220	17399
808	73327	17312
809	73400	17217
810	73475	17123
811	73593	17038
812	73690	16949
813	73778	16858
814	73869	16767
815	73967	16678
816	74043	16585
817	74108	16488
818	74217	16402
819	74316	16313
820	74415	16224
821	74476	16127
822	74558	16035
823	74646	15943
824	74759	15858
825	74843	15766
826	74942	15677
827	75059	15591
828	75135	15498
829	75239	15410
830	75304	15314
831	75373	15219
832	75494	15135
833	75573	15042
834	75650	14948
835	75755	14861
836	75843	14769
837	75941	14680
838	76038	14591
839	76127	14500
840	76184	14403
841	76296	14316
842	76375	14224
843	76469	14134
844	76563	14044
845	76692	13960
846	76797	13872
847	76869	13778
848	76962	13688
849	77052	13597
850	77160	13509
851	77237	13416
852	77330	13326
853	77435	13238
854	77522	13147
855	77626	13058
856	77726	12969
857	77831	12881
858	77905	12787
859	77990	12696
860	78105	12609
861	78196	12518
862	78286	12427
863	78382	12338
864	78471	12247
865	78569	12157
866	78642	12063
867	78733	11973
868	78842	11885
869	78923	11793
870	79014	11702
871	79112	11612
872	79201	11521
873	79311	11433
874	79393	11341
875	79482	11250
876	79592	11162
877	79684	11072
878	79761	10979
879	79873	10891
880	79961	10800
881	80056	10710
882	80130	10617
883	80206	10524
884	80282	10432
885	80393	10344
886	80490	10254
887	80561	10160
888	80669	10072
889	80764	9982
890	80849	9890
891	80947	9800
892	81063	9713
893	81148	9621
894	81234	9530
895	81310	9437
896	81387	9345
897	81476	9254
898	81541	9160
899	81642	9071
900	81746	8982
901	81838	8891
902	81906	8798
903	81995	8707
904	82085	8616
905	82177	8526
906	82266	8435
907	82371	8346
908	82477	8256
909	82607	8169
910	82710	8080
911	82801	7989
912	82874	7897
913	82955	7805
914	83026	7712
915	83097	7620
916	83188	7529
917	83308	7441
918	83392	7350
919	83469	7258
920	83572	7168
921	83646	7076
922	83752	6986
923	83827	6894
924	83892	6802
925	83984	6711
926	84088	6621
927	84197	6532
928	84262	6439
929	84364	6350
930	84432	6257
931	84527	6167
932	84623	6076
933	84724	5986
934	84843	5898
935	84928	5807
936	85015	5716
937	85083	5623
938	85192	5534
939	85289	5444
940	85395	5354
941	85490	5263
942	85564	5171
943	85653	5081
944	85760	4991
945	85838	4899
946	85914	4808
947	86007	4717
948	86108	4627
949	86196	4536
950	86273	4445
951	86382	4355
952	86478	4264
953	86572	4174
954	86656	4083
955	86745	3992
956	86844	3902
957	86948	3811
958	87030	3720
959	87136	3630
960	87232	3540
961	87306	3448
962	87405	3358
963	87482	3266
964	87573	3176
965	87652	3085
966	87758	2994
967	87853	2904
968	87972	2814
969	88054	2723
970	88162	2633
971	88266	2542
972	88358	2451
973	88457	2361
974	88557	2270
975	88647	2179
976	88737	2088
977	88795	1997
978	88912	1907
979	89001	1816
980	89095	1725
981	89172	1634
982	89271	1543
983	89349	1452
984	89427	1361
985	89514	1270
986	89629	1180
987	89705	1089
988	89782	998
989	89854	907
990	89932	816
991	90020	725
992	90112	635
993	90197	544
994	90321	453
995	90411	363
996	90496	272
997	90602	181
998	90685	90
999	90776	0
