iter	RMSE
0	189.6676949
1	181.6804866
2	175.0605521
3	169.6699135
4	165.4449842
5	162.2538273
6	159.6824315
7	157.6149996
8	155.7197731
9	154.1291321
10	152.8880954
11	151.5179736
12	150.6170817
13	149.8904358
14	149.0785068
15	148.2720842
16	147.4687461
17	146.4604575
18	145.8253586
19	145.371622
20	144.8173756
21	144.3360771
22	143.9355718
23	143.3619343
24	142.9119778
25	142.5933067
26	142.2435182
27	141.9998301
28	141.6384128
29	141.3298166
30	141.0866766
31	140.8772076
32	140.5717128
33	140.2945769
34	140.0107997
35	139.8205973
36	139.6111957
37	139.3649429
38	139.1506441
39	138.8951101
40	138.7031701
41	138.5046096
42	138.3520911
43	138.0670227
44	137.93916
45	137.6090108
46	137.4300218
47	137.2000428
48	137.0543098
49	136.885855
50	136.7207464
51	136.4947794
52	136.3220842
53	136.2015444
54	135.9696012
55	135.7728415
56	135.5310704
57	135.345906
58	135.2524626
59	135.0595819
60	134.9305874
61	134.804065
62	134.6691911
63	134.5294466
64	134.3943209
65	134.25417
66	134.1575263
67	133.9600097
68	133.8304198
69	133.7373645
70	133.5557357
71	133.4387098
72	133.3414247
73	133.257163
74	133.1554951
75	132.998105
76	132.8048413
77	132.6709243
78	132.5687745
79	132.4542516
80	132.3562612
81	132.2555941
82	132.1722011
83	132.0907877
84	131.9718957
85	131.8945024
86	131.8243852
87	131.7278796
88	131.6633631
89	131.5553741
90	131.4671216
91	131.3655657
92	131.2803321
93	131.211323
94	131.1113659
95	131.0397763
96	130.9507867
97	130.9030978
98	130.7813955
99	130.6967054
100	130.6247835
101	130.5217799
102	130.4672363
103	130.4170444
104	130.3310008
105	130.2785281
106	130.2128909
107	130.1619271
108	130.0787378
109	129.9794517
110	129.9080412
111	129.8281341
112	129.7462935
113	129.6830557
114	129.5974431
115	129.537925
116	129.477192
117	129.4282324
118	129.355757
119	129.2903904
120	129.2398321
121	129.1727833
122	129.1256108
123	129.0580372
124	128.9970686
125	128.9454209
126	128.8872612
127	128.8215734
128	128.7776218
129	128.7317123
130	128.6692522
131	128.6270917
132	128.5678043
133	128.5323666
134	128.4709269
135	128.4255225
136	128.3850615
137	128.3324969
138	128.2942016
139	128.2500765
140	128.1889793
141	128.1350683
142	128.0824102
143	128.0357723
144	127.9878914
145	127.9399886
146	127.8889309
147	127.8487041
148	127.8036503
149	127.7665538
150	127.7260413
151	127.6808358
152	127.6448877
153	127.6131164
154	127.5826374
155	127.5366409
156	127.4966382
157	127.4561005
158	127.4159196
159	127.3786306
160	127.3290759
161	127.2957483
162	127.2677417
163	127.2322892
164	127.1976463
165	127.1603429
166	127.1294089
167	127.103055
168	127.0716382
169	127.0436935
170	127.0175671
171	126.9690177
172	126.9405744
173	126.9062644
174	126.8725244
175	126.8383061
176	126.8082568
177	126.7799035
178	126.7564585
179	126.7260215
180	126.6824435
181	126.6499204
182	126.6255004
183	126.591228
184	126.5679526
185	126.5351542
186	126.4984105
187	126.4710202
188	126.4412376
189	126.4121716
190	126.3889736
191	126.3586072
192	126.3246707
193	126.3088336
194	126.2797373
195	126.2503382
196	126.2209835
197	126.1871874
198	126.1586583
199	126.1343537
200	126.1136701
201	126.0806375
202	126.0537013
203	126.0331088
204	126.0072198
205	125.9733218
206	125.9473928
207	125.9192582
208	125.8907357
209	125.8678068
210	125.8410191
211	125.8187796
212	125.8007192
213	125.7797687
214	125.7463755
215	125.7270064
216	125.707843
217	125.6790509
218	125.6571662
219	125.6343957
220	125.6112557
221	125.5833938
222	125.5554532
223	125.5356794
224	125.5128542
225	125.4946111
226	125.4661013
227	125.4410483
228	125.4215546
229	125.3910396
230	125.3686203
231	125.3504432
232	125.3357667
233	125.3164897
234	125.2932185
235	125.271188
236	125.24613
237	125.2284239
238	125.2119209
239	125.1934762
240	125.1755506
241	125.1526132
242	125.1335468
243	125.1110007
244	125.091093
245	125.0719665
246	125.0508501
247	125.0322222
248	125.0171119
249	124.9994732
250	124.9807112
251	124.9596922
252	124.9467969
253	124.9310942
254	124.9104637
255	124.8918939
256	124.8771796
257	124.8632359
258	124.8478439
259	124.8261156
260	124.8052066
261	124.7914917
262	124.7680168
263	124.7516556
264	124.7283983
265	124.7070374
266	124.6825666
267	124.6663966
268	124.6481472
269	124.6310302
270	124.6175722
271	124.5982774
272	124.5791683
273	124.5550238
274	124.539113
275	124.5264778
276	124.508041
277	124.4931487
278	124.477356
279	124.4628502
280	124.4427935
281	124.424249
282	124.4050378
283	124.391759
284	124.3748497
285	124.3584473
286	124.3388807
287	124.3229232
288	124.3037617
289	124.2937429
290	124.2794021
291	124.2668679
292	124.2528295
293	124.2260365
294	124.2138548
295	124.1999791
296	124.1834156
297	124.1696665
298	124.1544672
299	124.1408323
300	124.127383
301	124.0999878
302	124.0849921
303	124.0690339
304	124.0543881
305	124.0424626
306	124.0291731
307	124.0127625
308	124.0017211
309	123.9873901
310	123.969931
311	123.9588839
312	123.9460605
313	123.928557
314	123.9153726
315	123.9044995
316	123.8933315
317	123.8803708
318	123.867194
319	123.8525476
320	123.8445167
321	123.8305586
322	123.8155879
323	123.8033304
324	123.7917159
325	123.7776356
326	123.7648134
327	123.7547862
328	123.7381618
329	123.7246486
330	123.7100232
331	123.6946098
332	123.681778
333	123.6712663
334	123.6577133
335	123.6464973
336	123.6326983
337	123.6214363
338	123.6095746
339	123.6005744
340	123.5874035
341	123.5774165
342	123.5619199
343	123.550932
344	123.5383799
345	123.5205626
346	123.5109476
347	123.4994682
348	123.4913758
349	123.4756808
350	123.4670326
351	123.4565054
352	123.4447
353	123.4356227
354	123.4285894
355	123.4152876
356	123.4036376
357	123.3935226
358	123.3783414
359	123.3690286
360	123.354458
361	123.3475172
362	123.3391213
363	123.328939
364	123.3204534
365	123.3125981
366	123.3018888
367	123.2887284
368	123.2772218
369	123.264185
370	123.2521745
371	123.2431793
372	123.2339028
373	123.2220318
374	123.2089605
375	123.199362
376	123.1889733
377	123.17717
378	123.1645132
379	123.15389
380	123.1471424
381	123.1287742
382	123.1189546
383	123.1068343
384	123.0952194
385	123.0852781
386	123.0747529
387	123.0652353
388	123.0535459
389	123.0451758
390	123.0342843
391	123.0248953
392	123.0121323
393	122.9979371
394	122.9812958
395	122.9697681
396	122.9610064
397	122.9499045
398	122.9440691
399	122.9282409
400	122.9167876
401	122.9083795
402	122.9002777
403	122.887524
404	122.8765449
405	122.8674643
406	122.8585168
407	122.849615
408	122.8430276
409	122.8307785
410	122.824237
411	122.8139151
412	122.8018698
413	122.7903071
414	122.7829475
415	122.7710487
416	122.7614807
417	122.7484867
418	122.7403313
419	122.7339464
420	122.718444
421	122.7083197
422	122.6944799
423	122.6843381
424	122.6776987
425	122.6689413
426	122.6604148
427	122.6520081
428	122.6444868
429	122.6349643
430	122.6272088
431	122.6177949
432	122.6102566
433	122.6017874
434	122.5928064
435	122.5844674
436	122.5775662
437	122.5690727
438	122.5590594
439	122.5527749
440	122.547342
441	122.5406061
442	122.5293363
443	122.5174627
444	122.5094953
445	122.5018736
446	122.4909192
447	122.4834941
448	122.4735097
449	122.4653545
450	122.4565287
451	122.4488903
452	122.4399028
453	122.4329051
454	122.42728
455	122.4215452
456	122.4130836
457	122.4055753
458	122.396263
459	122.3886888
460	122.380928
461	122.3725367
462	122.3632019
463	122.3557936
464	122.3482227
465	122.3362312
466	122.3263363
467	122.3173592
468	122.3107042
469	122.3047821
470	122.2973319
471	122.2894136
472	122.2810888
473	122.2751795
474	122.2671344
475	122.2604226
476	122.2482184
477	122.2380376
478	122.2280733
479	122.2200989
480	122.2137451
481	122.2010987
482	122.1944672
483	122.1877501
484	122.1832417
485	122.1733356
